feature,importance
ema_positive_mean,0.09153708
ema_lonely_mean,0.08116461
ema_negative_mean,0.07075462
ema_connect_mean,0.0661283
ema_isolate_mean,0.05804834
oura_sleep_rmssd,0.051072564
call_duration_sec,0.04610551
oura_activity_score,0.044372655
oura_sleep_score,0.04234156
watch_movement_intensity,0.041448575
phq9_latest_total,0.039614048
watch_hr_std,0.03840448
oura_steps,0.037573915
oura_sleep_efficiency,0.03699163
days_with_any_sensor_data,0.036199357
oura_hrv_balance,0.032402676
screen_event_count,0.030210596
ema_days,0.028747803
oura_sleep_duration,0.026508007
oura_readiness_score,0.023526926
watch_avg_heart_rate,0.020632101
oura_sleep_hr_average,0.017193556
screen_on_minutes,0.015501593
pss_end_total,0.013552274
missed_call_count,0.0099673
messages_received,0.0
call_count,0.0
messages_sent,0.0
notification_count,0.0
message_count,0.0
